ticker,security,outlook,rating,use,trust,upward_trend,outlook_date,sector,industry
CRWD,"CrowdStrike Holdings, Inc.",,,,,,,Technology,Software - Infrastructure
FFIV,F5 Networks,49,,0,0,,8/4/18,Technology,Software - Infrastructure
TSS,Total System Services,44,,1,0,,8/4/18,Technology,Software - Infrastructure
ADSK,Autodesk,64,,f,0,yes,8/4/18,Technology,Software - Application
ACIW,ACI Worldwide,,,,,,,Technology,Software - Infrastructure
ADBE,Adobe Systems,87,4.3,0,0,yes,11/3/20,Technology,Software - Infrastructure
ADYEY,Adyen,,,,,,,Technology,Software - Infrastructure
FSLR,First Solar,48,,1,0,,8/4/18,Technology,Solar
FMCC,Freddie Mac,62,,1,0,,8/4/18,Financial Services,Specialty Finance
AMZN,Amazon.com,69,3.9,0,0,yes,2/27/21,Consumer Cyclical,Specialty Retail
AZO,AutoZone,42,,1,0,,8/4/18,Consumer Cyclical,Specialty Retail
BABA,Alibaba,68,3.9,1,1,maybe,11/3/20,Consumer Cyclical,Specialty Retail
BKS,Barnes & Noble,27,,0,0,,8/4/18,Consumer Cyclical,Specialty Retail
BZUN,Baozun Inc.,,,,,,,Consumer Cyclical,Specialty Retail
FIVE,Five Below,36,3,1,0,yes,9/8/19,Consumer Cyclical,Specialty Retail
GME,GameStop,27,,1,0,,8/4/18,Consumer Cyclical,Specialty Retail
JD,"JD.com, Inc.",53,3.6,,,maybe,11/3/20,Consumer Cyclical,Specialty Retail
JMEI,Jumei International Holding Limited,,,,,,,Consumer Cyclical,Specialty Retail
MELI,MercadoLibre,,,1,0,yes,8/4/18,Consumer Cyclical,Specialty Retail
ORLY,OReilly Automotive,,,1,0,,8/4/18,Consumer Cyclical,Specialty Retail
OSTK,Overstock.com,39,,1,0,,8/4/18,Consumer Cyclical,Specialty Retail
PIR,Pier 1 Imports,40,,0,0,,8/4/18,Consumer Cyclical,Specialty Retail
QRTEA,Qurate Retail,,,,,,,Consumer Cyclical,Specialty Retail
TA,TravelCenters of America,,,,,,,Consumer Cyclical,Specialty Retail
TCS,Tata Consultancy Services,60,,1,0,yes,8/4/18,Consumer Cyclical,Specialty Retail
ULTA,Ulta Beauty,47,,1,0,,8/4/18,Consumer Cyclical,Specialty Retail
VIPS,Vipshop Holdings Limited,,,,,,,Consumer Cyclical,Specialty Retail
AKS,AK Steel Holding,,,,,,,Basic Materials,Steel
CA,CA Technologies Inc,40,,1,0,,8/4/18,Information Technology,Systems Software
FTR,Frontier Communications,18,,1,0,,8/4/18,Communication Services,Telecom Services
LILAK,Liberty Latin America Ltd,,,1,0,,8/4/18,Communication Services,Telecom Services
ZM,Zoom,94,4.8,0,0,yes,,Communication Services,Telecom Services
NAV,Navistar International,,,,,,,Industrials,Truck Manufacturing
PCG,PG&E Corp.,37,,1,0,,8/4/18,Utilities,Utilities - Regulated Electric
WTR,Aqua America Stock,,,,0,yes,,Utilities,Utilities - Regulated Water
ABNB,Airbnb,,,,,,,,
AMWL,Amwell,,,,,,,,
ANTHM,Anthem,,,,,,,,
ARRY,Array BioPharma Inc.,,,,,too early,,,
BILI,Bilibili Inc,,,,,maybe,,,
BL,Blackline,,,,,,,,
BLDP,Ballard Power Systems,,,,,,,,
BPTH,Bio-Path,,,,,,,,
CATX,Credit Acceptance Corp,,,,,,,,
CGROU,Collective Growth Corp,,,,,,,,
CODX,Co-Diagnostics,,,,,,,,
COMP,NASDAQ Composite Index,,,,,,,,
CPRT,Copart Inc,,,,,,,,
CSGP,CoStar Group,,,,,,,,
DASH,DoorDash,,,,,too early,,,
DDOG,Datadog,,,,,yes,,,
DHXM,DHX Media,,,,,,,,
DNN,Denison Mines,,,,,,,,
DYNT,Dynatronics,,,,,,,,
ECPG,Encore Capital Group,,,,,,,,
EICHERMOT.NS,Eicher Motors Limited,,,,,,,,
ETP,Energy Transfer Partners L.P.,66,,1,1,too early,8/4/18,,
FDC,First Data,,,,,,,,
FINL,Finish Line,44,,0,0,,8/4/18,,
FLT,Fleetcor Tech,,,,,,,,
FTNT,Fortinet Inc,,,,,,,,
GIII,G-III Apparel Group,,,,,,,,
HCLTECH.NS,HCL Technologies Limited,,,,,maybe,,,
HINDUNILVR.NS,Hindustan Unilever,,,,,,,,
HMI,Huami,,,,,,,,
HSC,Harsco Corp,,,,,,,,
IBN,ICICI Bank,,,,,,,,
ICON,Iconix Brand Group,,,,,,,,
IIVI,II-VI Inc,,,,,,,,
IMB.L,Imperial Brands Plc,,,,,,,,
INCY,Incyte Corporation,,,,,,,,
INDUSINDBK.NS,IndusInd Bank Limited,,,,,,,,
INFN,Infinera Corporation,,,,,,,,
INFY.NS,Infosys Limited,,,,,maybe,,,
INVA,Innoviva,,,,,,,,
IPGP,IPG Photonics Corp,,,,,,,,
ITC.BO,ITC Limited,,,,,,,,
ITV.L,ITV Plc,,,,,,,,
ITX.MC,Industria de Diseno Textil SA,,,,,,,,
JE/:LN,Just Eat PLC,,,,,,,,
JMAT.L,Johnson Matthey Plc,,,,,,,,
JMIA,Jumia Technologies,,,,,,,,
JSWSTEEL.NS,JSW Steel Limited,,,,,,,,
KEY.TO,Keyera Corp.,,,,,,,,
KIO.JO,Kumba Iron Ore Limited,,,,,,,,
KOPN,Kopin Corporation,,,,,,,,
KOTAKBANK.NS,Kotak Mahindra Bank,,,,,,,,
KYCCF,Keyence Corp,,,,,,,,
LAZR,Luminar Tech,,,,,,,,
LLNW,Limelight Networks,,,,,,,,
LMND,Lemonade,,,,,,,,
LSXMK,Liberty SiriusXM,,,,,,,,
MARUTI.NS,Maruti Suzuki India Limited,,,,,,,,
MHO,MI Homes,,,,,,,,
MIDD,Middleby,,,,,,,,
MNDI.L,Mondi Plc,,,,,,,,
MOD,Modine Manufacturing,,,,,,,,
MOTHERSUMI.NS,Motherson Sumi Systems Limited,,,,,,,,
MRNA,Moderna,,,,,,,,
MYOK,MyoKardia,,,,,,,,
NDA-FI.HE,Nordea Bank Abp,,,,,,,,
NDRO,Enduro Royalty Trust,,,1,0,,8/4/18,,
NEWR,New Relic Inc,,,,,,,,
NIO,Nio Inc,,,,,too early,,,
NLS,Nautilus,,,,,,,,
NNVC,NanoViricides,,,,,,,,
NOVN.SW,Novartis AG,,,,,,,,
NOVO-B.CO,Novo Nordisk AS,,,,,,,,
NOW,ServiceNow,,,,,,,,
NVAX,Novavax,,,,,,,,
NVGS,Navigator Holdings,,,,,,,,
NXT.L,Next Plc,,,,,,,,
OA,Orbital ATK,66,,1,0,,8/4/18,,
OBSV,Observa SA,,,,,,,,
OKTA,Okta,,,,,,,,
OPK,OPKO Health,,,,,,,,
P,Pandora,37,3.7,0,0,,11/3/20,,
PAGS,PagSeguro Digital Ltd,,,,,,,,
PAYC,Paycom Software,,,,,,,,
PBYI,Puma Biotech,,,,,,,,
PENN,Penn National Gaming Inc,,,,,,,,
PLNT,Planet Fitness,,,,,,,,
PLUG,Plug Power,,,,,,,,
POWERGRID.NS,Power Grid Corporation of India Limited,,,,,,,,
PTON,Peloton Interactive,,,,,,,,
PUSH,Publix Super Markets,,,,,,,,
QQQ,Invesco QQQ Trust Series 1 NASDAQ ETF,,,0,0,yes,,,
QTT,Qutoutiao,,,,,,,,
QTWO,Q2 Holdings,,,,,,,,
RAMP,LiveRamp Holdings,,,,,,,,
RCUS,Arcus Biosciences,,,,,,,,
RELIANCE.NS,Reliance Industries Limited,,,,,,,,
RHT,Red Hat Inc,,,,,,,,
RNG,RingCentral Inc,,,,,,,,
RNWK,RealNetworks,,,,,,,,
ROX,Castle Brands,,,,,,,,
RP,Realpage,,,,,,,,
RUN,Sunrun,,,,,,,,
SCC.BK,Siam Cement Public Company Limited,,,,,,,,
SDRL,Seadrill,,,,,,,,
SEDG,SolarEdge,,,,,,,,
SHOP,Shopify,81,4.2,,yes,yes,11/3/20,,
SKX,Sketchers,,,,,,,,
SMDS.L,DS Smith Plc,,,,,,,,
SNDL,Sundial Growers,,,,,,,,
SNOW,Snowflake,,,,,,,,
SNPS,Synopsys,,,,,,,,
SPCE,Virgin Galactic,70,3.8,,,too early,11/3/20,,
SPWH,Sportsman Warehouse,,,,,,,,
SQ,Square,74,4,yes,yes,maybe,11/3/20,,
SRNE,Sorrento Therapeutics,,,,,,,,
SSNLF,Samsung Electron,,,,,,,,
STFGX,State Farm Insurance,,,,,yes,,,
SWI,Solarwinds,,,,,,,,
TAL,TAL Education Group,,,,,,,,
TATN.ME,PJSC Tatneft,,,,,,,,
TEAM,Atlassian Corporation,,,,,yes,,,
TECHM.NS,Tech Mahindra Limited,,,,,,,,
TLRY,Tilray Cannabis,,,,,,,,
TRXC,TransEnterix,,,,,,,,
TWLO,Twilio,,,,,yes,,,
VEEV,Veeva Systems Inc,,,,,,,,
VLDR,Velodyne Lidar,,,,,too early,,,
VOO,Vanguard SP 500 ETF,,,,,,,,
VSAT,Visasat,,,,,,,,
WIPRO.BO,Wipro Limited,,,,,,,,
WIX,Wix.com,,,,,maybe,,,
WTB.L,Whitbread Plc,,,,,,,,
XHW,Sherwin-Williams,,,,,yes,,,
XYF,X Financials,,,,,,,,
YESBANK.NS,Yes Bank Limited,,,,,,,,
YEXT,Yext,,,,,,,,
ZAYO,Zayo,,,,,,,,
CELG,Celgene,69,,1,0,,8/4/18,Healthcare,Drug Manufacturers - Major
CYOU,Changyou.com Limited,,,1,0,,8/4/18,Technology,Electronic Gaming & Multimedia
DISCK,Discovery,,,,,,,Consumer Cyclical,Media - Diversified
HCP,HCP,82,,1,0,,8/4/18,Real Estate,REIT - Healthcare Facilities
GL,Global Life - Torchmark,42,,1,0,,8/4/18,Financial Services,Insurance - Life
TWX,Time Warner,46,,0,0,,8/4/18,Consumer Discretionary,Broadcasting & Cable TV
ULTI,Ultimate Software,93,,1,0,,8/4/18,Technology,Software - Infrastructure
VIAC,ViacomCBS,39,,1,0,,8/4/18,Consumer Cyclical,Media - Diversified
TMO,Thermo Fisher Scientific,74,3.7,,,,2/27/21,,
TER,Teradyne,91,4.5,,,,2/27/21,,
DE,Deere,62,4,,,,2/27/21,,
UNH,UnitedHealth Group,59,3.6,,,,2/27/21,,
ENPH,Ephase Energy,68,3.5,,,,2/27/21,,
SBUX,Starbucks,57,3.9,,,,2/27/21,,
HD,Home Depot,67,3.8,,,,2/27/21,,
SHW,Sherwin-Williams,67,3.9,,,,2/27/21,,
SNBR,Sleep Number,55,3.5,,,,2/27/21,,
ADP,Automated Data Processing,71,3.9,,,,2/27/21,,
NOC,Northrop Gruman,73,3.9,,,,2/27/21,,
KMB,Kimberly-Clark,65,4,,,,2/27/21,,
LOW,Lowes Home Improvement,53,3.5,,,,2/27/21,,
ROK,Rockwell Automation,71,3.9,,,,2/27/21,,
LRCX,Lam Research,74,4.2,,,,2/27/21,,
ZBRA,Zebra Technology,77,4,,,,2/27/21,,
PNC,PNC Bank,65,3.7,,,,2/27/21,,
AMAT,Applied Materials,74,3.9,,,,2/27/21,,
CHD,Church & Dwight,69,3.5,,,,2/27/21,,
CL,Colgate,76,4.2,,,,2/27/21,,
SPGI,SP Global,73,4,,,,2/27/21,,
SQ,Square,81,4.2,,,,2/27/21,,
SWK,Stanley Black and Decker,50,3.5,,,,2/27/21,,
BLK,Blackrock,85,4.1,,,,2/27/21,,
TGT,Target,57,3.7,,,,2/27/21,,
NKE,Nike,71,4.1,,,,2/27/21,,
NVDA,Nvidia,97,4.8,,,,2/27/21,,
AVGO,Broadcom,54,3.2,,,,2/27/21,,
MSFT,Microsoft,88,4.4,,,,2/27/21,,
JPM,JP Morgan Chase,74,4,,,,2/27/21,,
AMGN,Amgen,,,,,,,,
ABT,Abbot,,,,,,,,
JNJ,Johnson and Johnson,,,,,,,,
ABT,Abbot,,,,,,,,
JNJ,Johnson and Johnson,,,,,,,,
PG,Proctor and Gamble,,,,,,,,
PEP,Pepsi,,,,,,,,
DXCM,Dexcom,,,,,,,,
HSY,Hershey,,,,,,,,
AAPL,Apple,,,,,,,,
CLX,Clorox,,,,,,,,
A,Agilent Tech,,,,,,,,
