ticker,security,rec,,yahoo diagram,outlook,rating,use,trust,upward_trend,outlook_date,sector,industry,webscrape_date,net_income,ft_employee,div_yield,one_year,three_year,five_year,ten_year,fifteen_year,avg,rd,peg,profit_margin,roa,roe
ARNC,Arconic,,,,36,,1,0,,8/4/18,Industrials,Diversified Industrials,1/1/21,171,nan,—,—,—,—,—,—,,38,0,2.89,3.13,10.07
ADM,Archer Daniels Midland,,,,59,,1,0,,8/4/18,Consumer Defensive,Farm Products,12/24/20,,38100,2.89,10.37,10.03,8.83,7.14,6.27,,,2.1,2.53,3.67,8.32
ADP,Automatic Data Processing,,,,57,,0,0,,8/4/18,Industrials,Staffing & Employment Services,12/24/20,,58000,2.09,5.19,16.53,17.18,16.26,10.86,,,4.1,17.07,6.21,44.52
ADS,Alliance Data Systems,,,,56,,1,0,,8/4/18,Financial Services,Credit Services,12/24/20,,8500,1.72,-34.9,-32.54,-22.08,1.24,5.37,,,0.2,6.12,1.24,21.15
CHTR,Spectrum,,,,37,,1,0,,8/4/18,Communication Services,Pay TV,12/29/20,,,,34.78,24.47,26.48,31.44,—,,,0.8,5.7,1.86,8.98
AWK,American Water Works,,,,38,,1,0,,8/4/18,Utilities,Utilities - Regulated Water,12/24/20,,6800,1.4,24.4,19.65,21.45,20.47,—,,,4,17.63,2.84,10.42
AEE,Ameren,,,,67,,1,0,,8/4/18,Utilities,Utilities‚ÄîRegulated Electric,12/24/20,,9323,2.55,2.75,11.56,14.15,12.64,4.74,,,2.7,14.7,2.88,10.27
AEIS,Advanced Energy Industries,,,,63,,1,0,no,8/4/18,Technology,Electronic Components,,,,,,,,,,,,,,,
AEMD,Aethlon Medical,,,,,,,,,,,,12/29/20,,,,131.52,-49.31,-54.24,-34.91,-27.97,,,0,-932.51,-70.8,-83.52
AEO,American Eagle Outfitters,,,,47,,0,0,,8/4/18,Consumer Cyclical,Apparel Stores,12/24/20,,8000,0.76,44.16,4.4,7.54,6.18,4.57,,,0,-5.5,-5.99,-17.87
AEP,American Electric Power,,,,72,,1,0,,8/4/18,Utilities,Utilities - Regulated Electric,12/24/20,,17408,3.35,-10.88,6.43,9.91,11.14,7.56,,,2.7,12.85,2.51,9.57
AES,AES,,,,50,,1,0,,8/4/18,Utilities,Utilities - Diversified,12/24/20,,8000,2.8,21.41,32.88,22.25,8.18,3.52,,,2.2,-3.67,-1.03,-13.61
AFG,American Financial Group,,,,74,3.5,,,,9/8/19,Financial Services,Insurance - Property & Casualty,12/24/20,,7700,2.07,-17.47,-2.74,8.29,13.38,10.64,,,0,3.38,0.35,3.96
AFL,Aflac,,,,50,,1,0,,8/4/18,Financial Services,Insurance - Life,12/24/20,,11729,2.55,-15.02,2.36,9.95,6.18,5.76,,,0,21.25,2.92,14.88
AGCO,AGCO,,,,56,3.7,1,0,yes,9/8/19,Industrials,Farm & Construction Equipment,12/24/20,,20961,0.69,34.1,13.1,18.28,7.88,13.2,,,1.6,2.27,2.54,7.03
DG,Dollar General,,,,38,,1,0,,8/4/18,Consumer Defensive,Discount Stores,12/27/20,,,0.64,36.12,32.28,24.59,21.6,—,,,1.6,7.84,10.49,37.37
AGNC,Agnc Investment,,,,,,,,,,,,12/24/20,,51,10.47,-2.54,1.99,7.75,4.54,—,,,0,,,
AHPI,Allied Healthcare,,,,,,,,,,,,12/29/20,,,,406.36,38.64,20.64,-2.8,-4.62,,,0,-7.49,-14.52,-25.53
AIG,"American International Group, Inc.",,,,37,,1,0,,8/4/18,Financial Services,Insurance - Diversified,12/24/20,,46000,3.33,-24.03,-11.38,-6.52,-0.21,-16.4,,,0.4,-10.79,-0.91,-7.75
AIR,AAR Corp.,,,,61,,1,0,,8/4/18,Industrials,Aerospace & Defense,12/24/20,,4200,0.53,-24.74,-2.99,7.18,3.28,3.38,,,5.2,-1.15,-1.19,-2.24
AIV,Apartment Investment & Mgmt (Aimco),,,,51,,1,0,,8/4/18,Real Estate,REIT - Residential,12/24/20,,950,6.75,-16.36,2.12,4.2,7.62,3.78,,,0,17.35,2.27,8.06
AIZ,Assurant,,,,38,,1,0,,8/4/18,Financial Services,Insurance - Specialty,12/24/20,,13600,1.97,5.51,11.41,12.19,14.56,8.72,,,0,4.06,0.94,7.1
ESRX,Express Scripts Holding,,,,38,,1,0,,8/4/18,Healthcare,Health Care Plans,1/1/21,-334,nan,—,43.26,36.11,70.37,36.32,31.38,,151,0,-25.27,-10.92,-21.63
AKAM,Akamai Technologies,,,,51,,,0,,8/4/18,Technology,Software - Application,1/1/21,563,nan,—,21.54,17.31,14.81,8.36,11.71,,271,1.6,18.01,8.11,14.79
HON,Honeywell International,,,,39,,1,0,,8/4/18,Industrials,Diversified Industrials,12/28/20,,,1.78,20.9,13.52,17.09,16.16,13.22,,,3,14.99,8.06,27.54
ALB,Albemarle,,,,66,,1,0,,8/4/18,Basic Materials,Specialty Chemicals,12/24/20,382,6000,1.12,109.1,6.06,22.73,11.14,15.27,,58,3,11.77,4.15,9.58
ALE,"ALLETE, Inc.",,,,,,,,,,Utilities,Utilities - Diversified,12/24/20,,1322,4.39,-22.68,-3.1,6.71,7.99,4.6,,,0,15.33,3.17,7.88
DVA,DaVita HealthCare Partners,,,,40,,1,0,,8/4/18,Healthcare,Medical Care,12/29/20,,,,54.45,16.85,10.46,12.76,10.66,,,0.9,7.32,4.9,43.39
ALK,Alaska Air Group,,,,70,,0,0,,8/4/18,Industrials,Airlines,12/24/20,,18112,1.42,-24.64,-9.59,-6.99,15.13,13.46,,,0,-13.96,-5.02,-18.06
ALKS,Alkermes,,,,,,,,,,,,12/29/20,,,,4.01,-27.34,-23.32,5.42,1.19,,,0,-6.28,-4.05,-6.84
ALL,Allstate,,,,55,,1,0,,8/4/18,Financial Services,Insurance - Property & Casualty,12/24/20,,45780,2.11,-2.46,2.46,12.79,14.14,5.71,,,1.8,10.33,3.75,18.89
ALLE,Allegion,,,,49,,1,0,,8/4/18,Industrials,Security & Protection Services,12/24/20,,11000,1.08,-7.6,13.01,12.21,—,—,,,3.5,11.12,10.24,39.98
ALLY,Ally Financial,,,,54,3.4,,,no,9/8/19,Financial Services,Credit Services,12/24/20,,8700,2.56,15.71,8.03,14.25,—,—,,,0,11.98,0.42,5.43
ALV,Autoliv,,,,56,3.7,,,,9/8/19,Consumer Cyclical,Auto Parts,12/24/20,154,59423,1.39,9.55,3.16,2.65,6.63,8.8,,374,1.1,2.16,2.14,7.54
ALXN,Alexion Pharmaceuticals,,,,33,,1,0,,8/4/18,Healthcare,Biotechnology,1/1/21,957,nan,—,44.47,9.32,-3.91,14.52,25.69,,978,1,16.32,5.91,8.92
AMAT,Applied Materials,,,,78,,1,0,no,8/4/18,Technology,Semiconductor Equipment & Materials,12/24/20,3619,24000,1.05,39,18.41,35.51,20.33,11.18,,2234,2,21.04,17.49,38.52
AMBA,"Ambarella, Inc.",,,,,,,,no,,Technology,Semiconductor Equipment & Materials,12/29/20,,,,59.26,17.05,10.32,—,—,,,13.3,-27.64,-11.33,-13.28
AMCX,AMC Networks,,,,22,,0,0,,8/4/18,Consumer Cyclical,Broadcasting - TV,12/29/20,,,,-13.51,-14.44,-14.97,—,—,,,0,4.85,2.48,19.87
AMD,Advanced Micro Devices,,,,52,,,0,no,8/4/18,Technology,Semiconductors,,,,,,,,,,,,,,,
CHWY,Chewy,,,,40,2.9,,,maybe,9/12/19,,,12/29/20,,,,223.47,,,,,,,0,,,
AMG,Affiliated Managers Group,,,,57,,1,0,,8/4/18,Financial Services,Asset Management,12/24/20,,4000,0.4,18.92,-20.03,-8.34,0.53,1.79,,,0.8,5.36,1.42,3.68
AMGN,Amgen,,,,59,,,0,,8/4/18,Healthcare,Drug Manufacturers - Major,12/24/20,7352,23400,2.88,-5.63,10.87,8.88,16.38,8.05,,4290,1.5,29.42,11.84,67.18
AMID,American Midstream Partners LP,,,,18,,1,0,,8/4/18,Basic Materials,Oil & Gas Pipelines,,,,,,,,,,,,,,,
AMP,Ameriprise Financial,,,,66,3.7,1,0,maybe,9/8/19,Financial Services,Asset Management,12/24/20,,12500,2.21,15.15,5.25,13.66,14.07,11.63,,,2,15.33,1.18,30.17
AMRK,A-Mark Precious Metals,,,,,,,,,,Financial Services,Capital Markets,12/29/20,,,,255.34,26.11,9.92,—,—,,,0,0.91,6.12,58.09
AMT,American Tower,,,,57,,1,0,,8/4/18,Communication Services,Telecom Services,12/24/20,,5454,1.87,-2.31,17.53,18.73,16.76,15.61,,,2,24.08,4.68,42.09
LYFT,Lyft,,,,,,0,0,too early,,Technology,Software - Application,1/1/21,-1651,nan,—,14.2,—,—,—,—,,971,0,-58.71,-30.85,-66.13
BURL,Burlington Stores,,,,,,,,maybe,,Consumer Defensive,Discount Stores,1/1/21,-166,nan,—,14.7,28.58,43.56,—,—,,—,3.3,-2.92,-2.68,-49.01
TSCO,Tractor Supply,,,,41,,1,0,,8/4/18,Consumer Cyclical,Specialty Retail,12/28/20,,,1.07,56.87,25.2,11.67,20.18,17.5,,,1.9,7.62,12.32,44.97
AN,AutoNation,,,,39,,1,0,,8/4/18,Consumer Cyclical,Auto & Truck Dealerships,12/29/20,,,,40.08,10.12,2.8,9.37,7.93,,,0.9,1.92,3.87,12.21
ANDV,Andeavor,,,,70,,1,0,,8/4/18,Energy,Oil & Gas Refining & Marketing,,,,,,,,,,,,,,,
ANF,Abercrombie & Fitch,,,,32,,0,0,,8/4/18,Consumer Cyclical,Apparel Stores,12/24/20,,8000,1.93,24.3,7.06,-2.69,-7.01,-4.77,,,0,-3.55,-3.35,-12.36
ANGI,ANGI Homeservices Inc,,,,,,1,0,,8/4/18,Technology,Internet Content & Information,12/29/20,8,,,61.12,8.45,7.48,—,—,,67,0,0.56,0.37,0.62
HUM,Humana,,,,42,,1,0,,8/4/18,Healthcare,Health Care Plans,12/28/20,,,0.61,10.56,18.85,18.35,22.41,14.47,,,1.6,5.58,12.28,30.35
ANTM,Anthem,,,,54,3.4,1,0,maybe,9/8/19,Healthcare,Health Care Plans,12/24/20,,70600,1.17,2.96,12.16,18.16,19.16,10.1,,,1.1,4.22,6.03,15.19
AON,Aon plc,,,,51,,1,0,,8/4/18,Financial Services,Insurance Brokers,12/24/20,,50000,0.87,0.9,16.89,18.64,16.95,12.88,,,1.6,16.56,6.11,51.72
APA,Apache,,,,42,,1,0,,8/4/18,Energy,Oil & Gas E&P,12/24/20,,3163,2.52,-43.06,-26.4,-16.01,-15.09,-6.41,,,0,-164.52,-45.78,-336.74
APC,Anadarko Petroleum,,,,46,,1,0,,8/4/18,Energy,Oil & Gas E&P,,,,,,,,,,,,,,,
NSC,Norfolk Southern,,,,42,2.8,1,0,yes,9/8/19,Industrials,Railroads,12/28/20,,,1.59,22.18,19.2,23.53,15.32,12.53,,,2.8,20.23,5.3,13.28
BLL,Ball,,,,43,,1,0,,8/4/18,Consumer Cyclical,Packaging & Containers,12/27/20,,,0.62,42.48,35.23,21.11,18.65,16.15,,,3.9,4.54,3.12,16.57
APRN,Blue Apron,,,,,,,,no,,,,,,,,,,,,,,,,,,
AR,Antero Resources Corporation,,,,,,,,,,Energy,Oil & Gas E&P,,,,,,,,,,,,,,,
ARAY,Accuray Incorporated,,,,,,,,,,Healthcare,Medical Devices,1/1/21,14,nan,—,47.87,-1.02,-9.18,-4.7,—,,49,0,3.59,2.93,25.06
ARLP,Alliance Resource Partners L.P.,,,,43,,1,0,,8/4/18,Basic Materials,Coal,12/24/20,,3602,20.89,-52.73,-21.76,-1.66,-2.7,3.57,,,0,-9.82,-5.72,-11.67
ARMK,Aramark,,,,,,,,,,Consumer Cyclical,Restaurants,12/24/20,,170750,1.26,-12.77,-3.19,4.11,—,—,,,0,-3.6,-3.13,-15.24
UNP,Union Pacific,,,,44,,1,0,,8/4/18,Industrials,Railroads,12/28/20,,,1.9,15.5,16.98,23.05,17.41,17.71,,,2.9,27.4,8.55,30.51
EFX,Equifax,,,,44,,1,0,,8/4/18,Industrials,Business Services,12/27/20,,,0.93,40.16,18.38,12.32,19.22,11.92,,,2.2,11.29,5.3,16.23
ARW,Arrow Electronics,,,,,,,,,,Technology,Electronics Distribution,12/29/20,,,,15.37,6.6,11.96,11.06,7.64,,,2.4,1.67,2.95,9.72
LOW,Lowes,,,,45,,0,0,,8/4/18,Consumer Cyclical,Home Improvement Stores,12/28/20,,,1.44,37.78,22.8,17.61,21.25,11.68,,,1,6.27,11.79,163.68
APD,Air Products & Chemicals,,,,46,,1,0,,8/4/18,Basic Materials,Chemicals,12/24/20,1887,19000,1.85,15.43,19.7,17.41,13.1,11.75,,84,1.7,21.3,8.55,16.31
ASX,Australian Services Exchange,,,,,,1,0,no,,Technology,Semiconductors,12/24/20,24142,,2.56,0.29,4.68,6.28,7.23,8.49,,19391,0,5.44,4.22,11.86
ATHM,Autohome Inc.,,,,,,,,no,,Technology,Internet Content & Information,12/24/20,3163,3882,0.82,20.59,15.32,22.21,—,—,,1280,0,37.84,17.29,22.36
APH,Amphenol,,,,47,,1,0,yes,8/4/18,Technology,Electronic Components,12/24/20,,74000,0.76,21.43,14.43,20.07,17.78,18.05,,,2.9,14,10.39,25.34
DPZ,Dominos Pizza,,,,48,,0,0,maybe,8/4/18,Consumer Cyclical,Restaurants,12/27/20,,,0.76,38.05,28.02,30.08,38.45,20.83,,,2.2,,,
AVB,AvalonBay Communities,,,,83,,0,0,,8/4/18,Real Estate,REIT - Residential,12/24/20,,3122,3.78,-21.29,-0.61,0.29,6.45,6.25,,,5.7,27.9,3.42,6.08
ETN,Eaton Corporation,,,,49,,1,0,,8/4/18,Industrials,Diversified Industrials,12/27/20,1387,,2.41,28.06,17.73,19.75,10.67,10.15,,563,3.5,7.53,4.41,9.15
AVT,Avnet,,,,37,3.3,,,,9/8/19,Technology,Electronics Distribution,12/24/20,,14600,2.77,-15.94,-1.97,-2.62,2.1,3.41,,,1.3,-0.52,-1.06,-2.37
AVY,Avery Dennison,,,,83,,1,0,,8/4/18,Industrials,Business Equipment,12/24/20,,27950,1.55,16.71,11.75,20.54,14.8,7.86,,,5.1,7.8,9.53,44.06
CMG,Chipotle Mexican Grill,,,,49,,0,0,,8/4/18,Consumer Cyclical,Restaurants,12/29/20,,,,67.48,68.14,23.21,20.34,—,,,2.4,4.08,4.49,13.84
AWR,American States Water Co.,,,,,,1,0,,,Utilities,Utilities - Regulated Water,12/24/20,,841,1.73,-8.35,13.1,14.2,17.6,12.17,,,0,17.32,4.96,13.44
MKC,McCormick and Company,,,,50,,1,0,,8/4/18,Consumer Defensive,Packaged Foods,12/28/20,,,1.33,12.58,23.88,17.88,15.85,13.66,,,1.9,13.75,7.16,20.54
AXL,American Axle & Manufacturing,,,,,,,,,,Consumer Cyclical,Auto Parts,1/1/21,-1052,nan,—,-22.49,-21.18,-15.13,-4.24,-4.04,,—,0,-22.36,-15.86,-120.35
AXP,American Express,,,,57,,0,0,,8/4/18,Financial Services,Credit Services,12/24/20,,64000,1.45,-4.55,7.34,12.17,11.68,6.38,,,14.1,11.66,1.72,14.63
AXTA,Axalta Coating Systems Ltd,,,,,,1,0,no,8/4/18,Basic Materials,Specialty Chemicals,,,,,,,,,,,,,,,
XYL,Xylem,,,,51,,1,0,,8/4/18,Industrials,Diversified Industrials,12/29/20,224,,1.08,28.63,14.78,23.13,—,—,,187,3.9,4.6,2.81,7.79
AYI,Acuity Brands,,,,40,,1,0,,8/4/18,Technology,Electronic Components,12/24/20,,11500,0.44,-12.51,-11.21,-12.73,7.71,10.05,,,1.6,7.46,7.45,12.27
OKTA,Okta,,,,67,3.9,,,,,,,1/1/21,-241,nan,—,120.39,114.93,—,—,—,,204,254.3,-31.38,-9.56,-44.67
AZO,AutoZone,,,,42,,1,0,,8/4/18,Consumer Cyclical,Specialty Retail,1/1/21,1825,nan,—,-0.49,18.56,9.83,15.83,18.6,,—,1.3,nan,nan,nan
B4O2,Windstream Holdings,,,,,,,,,,,,12/24/20,,,,0,-69.28,-30.01,-9.84,—,,,0,,,
BA,Boeing,,,,53,,0,0,,8/4/18,Industrials,Aerospace & Defense,12/24/20,,161100,1.95,-34.17,-7.41,11.22,14.69,9.09,,,0,,,
BABA,Alibaba,,,,68,3.9,1,1,maybe,11/3/20,Consumer Cyclical,Specialty Retail,1/1/21,131803,nan,—,9.73,10.51,23.42,—,—,,51991,0.8,22.55,10.17,18.06
BAC,Bank of America Corp.,,,,55,,1,1,,8/4/18,Financial Services,Banks - Global,12/24/20,,211000,2.56,-12.89,2.18,13.49,9.7,-1.09,,,4.1,20.52,0.7,7.35
ZTS,Zoetis,,,,52,,1,0,yes,8/4/18,Healthcare,Drug Manufacturers - Specialty & Generic,12/29/20,1663,,,22.47,31.43,28.09,—,—,,462,3.7,25.42,13.31,52.96
BAX,Baxter International,,,,46,,1,0,,8/4/18,Healthcare,Medical Instruments & Supplies,12/27/20,911,,1.22,-4.89,8.26,16.89,9.13,8.38,,542,2.6,7.9,4.87,11.28
BBBY,Bed Bath & Beyond,,,,28,,0,0,,8/4/18,Consumer Cyclical,Specialty Retail,12/27/20,,,1.62,8.62,-3.64,-15.55,-8.32,-3.62,,,1,-1.91,-2.45,-10.46
BBT,BB&T Corp.,,,,48,,1,0,,8/4/18,Financial Services,Banks - Regional - US,12/27/20,,,,-73.86,-54.11,62.98,-3.25,—,,,0,-168.72,-6.46,-9.53
BBVA,Banco Bilbao Vizcaya Argentaria,,,,,,,,,,,,12/27/20,,,3.81,-7.32,-12.68,-3.33,-1.22,-2.1,,,0,-2.72,-0.08,-1.26
BBY,Best Buy,,,,62,,0,0,,8/4/18,Consumer Cyclical,Specialty Retail,12/27/20,,,1.98,19.13,17.39,29.59,12.92,6.76,,,1.4,3.79,9.06,47.9
BCE,BCE Inc.,,,,,,,,,,Communication Services,Telecom Services,12/27/20,,,5.65,-1.93,1.71,6.85,6.28,7.24,,,0,9.82,3.73,13.56
BCRX,BioCryst,,,,,,,,,,,,12/29/20,,,,130.13,12.15,-7.55,2.8,-5.52,,,0,,,
BCSF,Bain Capital Specialty Finance,,,,,,,,,,,,12/27/20,,,13.21,-29.23,—,—,—,—,,,0,,,
BDX,Becton Dickinson,,,,50,,1,0,,8/4/18,Healthcare,Medical Instruments & Supplies,12/27/20,874,,1.35,-7.99,5.81,11.02,12.43,10.71,,1096,1.7,4.48,1.45,3.42
BECN,Beacon Roofing Supply,,,,,,,,,,Basic Materials,Building Materials,1/1/21,-81,nan,—,25.67,-14.26,-0.49,8.44,5.07,,—,0,-1.51,-1.57,-5.79
BEN,Franklin Templeton Investments,,,,56,,1,0,,8/4/18,Financial Services,Asset Management,12/27/20,,,4.91,-0.99,-11.33,-2.74,0.14,1.28,,,0,14.08,4.51,7.83
AJG,Arthur J. Gallagher,,,,52,,1,0,,8/4/18,Financial Services,Insurance Brokers,12/24/20,,32000,1.54,32.44,26.99,26.19,16.76,10.64,,,0,11.07,3.78,14.6
BERY,Berry Global Group,,,,,,,,,,Consumer Cyclical,Packaging & Containers,1/1/21,559,nan,—,18.32,-1.43,9.2,—,—,,—,0,4.77,3.37,30.13
UNH,United Health Group Inc.,,,,53,3.4,1,0,,11/3/20,Healthcare,Health Care Plans,12/28/20,,,1.39,18.52,17.17,25.17,26.31,12.47,,,1.6,6.66,9.18,27.83
BHF,Brighthouse Financial,,,,,,,,,,Financial Services,Insurance - Life,12/29/20,,,,-10.38,-15.74,—,—,—,,,0,-12.92,-0.49,-6.32
BHI,Baker Hughes,,,,37,,1,0,,8/4/18,Energy,Oil & Gas Equipment & Services,,,,,,,,,,,,,,,
BHP,BHP Group,,,,,,,,,,Basic Materials,Industrial Metals & Minerals,12/27/20,,,4.3,24.04,18.36,24.08,-0.09,7.52,,,0,18.53,7.74,16.72
BIDU,Baidu,,,,,,,,no,,Technology,Internet Content & Information,,,,,,,,,,,,,,,
BIIB,Biogen,,,,31,,1,0,no,8/4/18,Healthcare,Drug Manufacturers - Major,,,,,,,,,,,,,,,
FAST,Fastenal,,,,53,,1,0,yes,8/4/18,Industrials,Industrial Distribution,12/27/20,,,2.02,37.58,24.82,20.99,14.22,12.38,,,3.1,15.12,21.25,30.77
BEP,Brookfield Renewable Partners,,,,53,3.9,1,0,,9/8/19,Utilities,Utilities - Independent Power Producers,12/27/20,,,3.07,71.23,34.44,26.61,16.19,—,,,0,-4.24,-0.31,-2.63
TWLO,Twilio,,,,78,4.1,,,yes,,,,1/1/21,-402,nan,—,244.42,142.97,—,—,—,,482,34.3,-26.01,-6.79,-8
BJ,BJ's Wholesale Club,,,,,,,,no,,Consumer Cyclical,Specialty Retail,,,,,,,,,,,,,,,
BK,Bank of New York Mellon Corp.,,,,47,,1,0,,8/4/18,Financial Services,Asset Management,12/27/20,,,3.17,-16.03,-6.25,2.25,5,3.28,,,4.4,26.1,1.02,10.52
BKEP,Blueknight Energy Partners L.P.,,,,58,,1,0,,8/4/18,Energy,Oil & Gas Midstream,12/27/20,,,9.47,96.21,-17.36,-5.23,-2.09,—,,,0,,,
EL,Estee Lauder,,,,54,,,0,,8/4/18,Consumer Defensive,Household & Personal Products,12/27/20,,,0.8,27.74,27.66,24.76,21.15,20.52,,,3.9,4.38,3.67,13.63
BKNG,Booking Holdings,,,,,,,,,,Consumer Cyclical,Leisure,1/1/21,1395,nan,—,8.45,8.62,11.8,18.75,35.92,,—,10,15.68,6.4,25.68
IDXX,IDEXX Laboratories,,,,54,,1,0,,8/4/18,Healthcare,Diagnostics & Research,1/1/21,497,nan,—,91.43,47.31,46.96,30.61,24.81,,138,6.1,19.2,26.19,154.74
BKU,"BankUnited, Inc.",,,,35,2.9,,,,9/8/19,Financial Services,Banks - Regional - US,12/27/20,,,3.16,-4.86,-3.52,0.95,—,—,,,0,21.9,0.57,6.67
GPN,Global Payments,,,,55,,1,0,,8/4/18,Industrials,Business Services,12/28/20,,,0.4,12.85,27.21,25.84,24.61,15.47,,,0.9,6.75,1.12,1.82
IQV,IQVIA Holdings,,,,55,3.5,,,,9/8/19,Healthcare,Diagnostics & Research,1/1/21,176,nan,—,15.96,22.32,21.15,—,—,,—,1.3,1.61,0.75,2.94
BLDR,Builders FirstSource,,,,,,,,,,Basic Materials,Building Materials,1/1/21,215,nan,—,60.61,23.26,29.79,35.4,5.02,,—,0,2.76,5.88,24.06
GDDY,GoDaddy,,,,55,,1,0,,8/4/18,Technology,Internet Content & Information,12/29/20,,,,21.37,18.31,20.29,—,—,,,0,-15.67,-8.16,-200.56
UI,Ubiquiti Inc,,,,55,3.2,,,yes,11/3/20,,,12/28/20,439,,0.56,46.09,57.3,53.88,—,—,,95,0,,,
BLMN,Bloomin Brands,,,,,,1,0,,8/4/18,Consumer Cyclical,Restaurants,12/27/20,,,1.71,-13.15,-1.98,3.7,—,—,,,0,-3.55,-3.51,-160.62
ICE,Intercontinental Exchange,,,,56,,1,0,,8/4/18,Financial Services,Financial Exchanges,12/28/20,,,1.11,23.54,18.18,18.44,17.33,20.94,,,2,26.19,1.8,11.12
BMO,Bank of Montreal,,,,,,,,,,Financial Services,Banks - Global,12/27/20,,,4.37,2.9,2.4,9.73,6.34,5.07,,,0,19.38,0.54,10.13
BMW,BMW,,,,,,1,0,,,,,12/27/20,,,,3.67,-1.57,-1.77,4.87,7.24,,,0.5,3.61,1.56,5.95
